airplaneID AirlineID fromAirport toAirport
226 10225 2Z DOU GRU
227 10226 2Z GIG RAO
228 10227 2Z GRU CAC
229 10228 2Z GRU DOU
230 10229 2Z GRU RAO
231 10230 2Z GRU UBA
232 10231 2Z GRU UDI
233 10232 2Z GRU VDC
234 10233 2Z GYN CGB
235 10234 2Z GYN PMW
236 10235 2Z GYN RAO
237 10236 2Z GYN UDI
238 10237 2Z OPS BSB
239 10238 2Z OPS CGB
240 10239 2Z PLU RAO
241 10240 2Z PMW AUX
242 10241 2Z PMW GYN
243 10242 2Z RAO BSB
244 10243 2Z RAO GIG
245 10244 2Z RAO GRU
246 10245 2Z RAO GYN
247 10246 2Z RAO PLU
248 10247 2Z RAO SJP
249 10248 2Z RAO UDI
250 10249 2Z SJP RAO
251 10250 2Z SSA BRA
252 10251 2Z SSA VDC
253 10252 2Z UBA GRU
254 10253 2Z UBA UDI
255 10254 2Z UDI GRU
256 10255 2Z UDI GYN
257 10256 2Z UDI RAO
258 10257 2Z UDI UBA
259 10258 2Z VDC GRU
260 10259 2Z VDC SSA
261 10260 3E BRL ORD
262 10261 3E BRL STL
263 10262 3E DEC ORD
264 10263 3E DEC STL
265 10264 3E JBR STL
266 10265 3E ORD BRL
267 10266 3E ORD DEC
268 10267 3E STL BRL
269 10268 3E STL DEC
270 10269 3E STL JBR
271 10270 3F CGA HYL
272 10271 3F CGA KTN
273 10272 3F HYL CGA
274 10273 3F HYL KTB
275 10274 3F HYL KTN
276 10275 3F KTB HYL
277 10276 3F KTB KTN
278 10277 3F KTN CGA
279 10278 3F KTN HYL
280 10279 3F KTN KTB
281 10280 3F KTN MTM
282 10281 3F MTM KTN
283 10282 3G ACC DKR
284 10283 3G ACC LOS
285 10284 3G ACC ROB
286 10285 3G BCN BJL
287 10286 3G BJL BCN
288 10287 3G BJL DKR
289 10288 3G BJL FNA
290 10289 3G CKY OXB
291 10290 3G DKR ACC
292 10291 3G DKR BJL
293 10292 3G DKR DLA
294 10293 3G DKR FNA
295 10294 3G DKR LOS
296 10295 3G DKR OXB
297 10296 3G DLA DKR
298 10297 3G DLA LOS
299 10298 3G FNA BJL
300 10299 3G FNA DKR
301 10300 3G FNA LGW
302 10301 3G FNA ROB
303 10302 3G LGW FNA
304 10303 3G LOS ACC
305 10304 3G LOS DKR
306 10305 3G LOS DLA
307 10306 3G LOS ROB
308 10307 3G OXB CKY
309 10308 3G OXB DKR
310 10309 3G ROB ACC
311 10310 3G ROB FNA
312 10311 3G ROB LOS
313 10312 3H AKV YIK
314 10313 3H AKV YPX
315 10314 3H XGR YVP
316 10315 3H YGL YGW
317 10316 3H YGL YPX
318 10317 3H YGL YUL
319 10318 3H YGW YGL
320 10319 3H YGW YPH
321 10320 3H YGW YSK
322 10321 3H YGW YUD
323 10322 3H YGW YUL
324 10323 3H YGW YUY
325 10324 3H YIK AKV
326 10325 3H YIK YZG
327 10326 3H YKG YPJ
328 10327 3H YKG YQC
329 10328 3H YKG YVP
330 10329 3H YKL YQB
331 10330 3H YKL YVP
332 10331 3H YKL YWK
333 10332 3H YKL YZV
334 10333 3H YPH YPX
335 10334 3H YPH YUD
336 10335 3H YPH YVP
337 10336 3H YPJ YKG
338 10337 3H YPJ YTQ
339 10338 3H YPJ YVP
340 10339 3H YPX AKV
341 10340 3H YPX YGL
342 10341 3H YPX YPH
343 10342 3H YPX YVP
344 10343 3H YQB YKL
345 10344 3H YQB YUL
346 10345 3H YQC YKG
347 10346 3H YQC YWB
348 10347 3H YSK YGW
349 10348 3H YSK YUD
350 10349 3H YTQ YPJ
351 10350 3H YTQ YVP
352 10351 3H YUD YGW
353 10352 3H YUD YPH
354 10353 3H YUD YSK
355 10354 3H YUL YGL
356 10355 3H YUL YGW
357 10356 3H YUL YQB
358 10357 3H YUL YUY
359 10358 3H YUY YGW
360 10359 3H YUY YUL
361 10360 3H YVP XGR
362 10361 3H YVP YGW
363 10362 3H YVP YKG
364 10363 3H YVP YKL
365 10364 3H YVP YPH
366 10365 3H YVP YPJ
367 10366 3H YVP YPX
368 10367 3H YVP YTQ
369 10368 3H YWB YQC
370 10369 3H YWB YZG
371 10370 3H YWK YKL
372 10371 3H YWK YZV
373 10372 3H YZG YIK
374 10373 3H YZG YWB
375 10374 3H YZV YKL
376 10375 3H YZV YWK
377 10376 3J JIB DXB
378 10377 3J JIB JED
379 10378 3J JIB MGQ
380 10379 3J MGQ NBO
381 10380 3J NBO MGQ
382 10381 3K BKK SIN
383 10382 3K DRW SIN
384 10383 3K HAK SIN
385 10384 3K HGH SIN
386 10385 3K HKG SIN
387 10386 3K HKT SIN
388 10387 3K KIX MNL
389 10388 3K KIX TPE
390 10389 3K KUL SIN
391 10390 3K MNL KIX
392 10391 3K MNL SIN
393 10392 3K PEN SIN
394 10393 3K PER SIN
395 10394 3K PNH SIN
396 10395 3K REP SIN
397 10396 3K RGN SIN
398 10397 3K SGN SIN
399 10398 3K SIN BKK
400 10399 3K SIN DRW
401 10400 3K SIN HAK
402 10401 3K SIN HGH
403 10402 3K SIN HKG
404 10403 3K SIN HKT
405 10404 3K SIN KUL
406 10405 3K SIN MNL
407 10406 3K SIN PEN
408 10407 3K SIN PER
409 10408 3K SIN PNH
410 10409 3K SIN REP
411 10410 3K SIN RGN
412 10411 3K SIN SGN
413 10412 3K SIN SWA
414 10413 3K SIN TPE
415 10414 3K SWA SIN
416 10415 3K TPE KIX
417 10416 3K TPE SIN
418 10417 3L ACH EBA
419 10418 3L DRS ZRH
420 10419 3L DUS FDH
421 10420 3L EBA ACH
422 10421 3L EBA FDH
423 10422 3L EBA MUC
424 10423 3L EBA ZRH
425 10424 3L FDH DUS
426 10425 3L FDH EBA
427 10426 3L FDH HAM
428 10427 3L FDH OLB
429 10428 3L FDH TXL
430 10429 3L FDH ZAD
431 10430 3L FMM NAP
432 10431 3L GRZ ZRH
433 10432 3L HAM FDH
434 10433 3L MUC EBA
435 10434 3L NAP FMM
436 10435 3L OLB FDH
437 10436 3L SZG ZRH
438 10437 3L TXL FDH
439 10438 3L ZAD FDH
440 10439 3L ZRH DRS
441 10440 3L ZRH EBA
442 10441 3L ZRH GRZ
443 10442 3L ZRH SZG
444 10443 3M ATL LWB
445 10444 3M ATL MCN
446 10445 3M ATL MEI
447 10446 3M ATL MSL
448 10447 3M ATL PIB
449 10448 3M ATL TUP
450 10449 3M BIM FLL
451 10450 3M ELH FLL
452 10451 3M ELH PBI
453 10452 3M EYW FLL
454 10453 3M EYW RSW
455 10454 3M EYW TPA
456 10455 3M FLL BIM
457 10456 3M FLL ELH
458 10457 3M FLL EYW
459 10458 3M FLL FPO
460 10459 3M FLL GGT
461 10460 3M FLL GHB
462 10461 3M FLL MCO
463 10462 3M FLL MHH
464 10463 3M FLL TCB
465 10464 3M FLL TPA
466 10465 3M FPO FLL
467 10466 3M GGT FLL
468 10467 3M GGT GHB
469 10468 3M GHB FLL
470 10469 3M GLH TUP
471 10470 3M GNV MCO
472 10471 3M GNV TPA
473 10472 3M JAX MHH
474 10473 3M JAX TPA
475 10474 3M LWB ATL
476 10475 3M MCN ATL
477 10476 3M MCN MCO
478 10477 3M MCO FLL
479 10478 3M MCO GNV
480 10479 3M MCO MCN
481 10480 3M MCO MHH
482 10481 3M MCO PNS
483 10482 3M MCO RSW
484 10483 3M MCO TLH
485 10484 3M MEI ATL
486 10485 3M MHH FLL
487 10486 3M MHH JAX
488 10487 3M MHH MCO
489 10488 3M MHH PBI
490 10489 3M MSL ATL
491 10490 3M PBI ELH
492 10491 3M PBI MHH
493 10492 3M PBI TPA
494 10493 3M PIB ATL
495 10494 3M PNS MCO
496 10495 3M PNS TPA
497 10496 3M RSW EYW
498 10497 3M RSW MCO
499 10498 3M TCB FLL
500 10499 3M TLH MCO
501 10500 3M TLH TPA
502 10501 3M TPA EYW
503 10502 3M TPA FLL
504 10503 3M TPA GNV
505 10504 3M TPA JAX
506 10505 3M TPA PBI
507 10506 3M TPA PNS
508 10507 3M TPA TLH
509 10508 3M TUP ATL
510 10509 3M TUP GLH
511 10510 3O AMS NDR
512 10511 3O AMS TNG
513 10512 3O BCN CMN
514 10513 3O BCN NDR
515 10514 3O BCN TNG
516 10515 3O BGY CMN
517 10516 3O BLQ CMN
518 10517 3O BRU CMN
519 10518 3O BRU NDR
520 10519 3O BRU TNG
521 10520 3O CGN NDR
522 10521 3O CMN BCN
523 10522 3O CMN BGY
524 10523 3O CMN BLQ
525 10524 3O CMN BRU
526 10525 3O CMN CUF
527 10526 3O CMN LGW
528 10527 3O CMN LYS
529 10528 3O CMN MPL
530 10529 3O CMN SAW
531 10530 3O CMN TLS
532 10531 3O CMN TSF
533 10532 3O CUF CMN
534 10533 3O FEZ MPL
535 10534 3O LGW CMN
536 10535 3O LGW TNG
537 10536 3O LYS CMN
538 10537 3O MPL CMN
539 10538 3O MPL FEZ
540 10539 3O MPL NDR
541 10540 3O NDR AMS
542 10541 3O NDR BCN
543 10542 3O NDR BRU
544 10543 3O NDR CGN
545 10544 3O NDR MPL
546 10545 3O NDR PMI
547 10546 3O PMI NDR
548 10547 3O SAW CMN
549 10548 3O TLS CMN
550 10549 3O TNG AMS
551 10550 3O TNG BCN
552 10551 3O TNG BRU
553 10552 3O TNG LGW
554 10553 3O TSF CMN
555 10554 3P AUA LSP
556 10555 3P AUA MAR
557 10556 3P BON CUR
558 10557 3P CUR AUA
559 10558 3P LSP AUA
560 10559 3P MAR AUA
561 10560 3R ASF DME
562 10561 3R ASF LED
563 10562 3R BHK DME
564 10563 3R DME ASF
565 10564 3R DME BHK
566 10565 3R DME EGO
567 10566 3R DME FEG
568 10567 3R DME KSQ
569 10568 3R DME NMA
570 10569 3R DME NVI
571 10570 3R DME SKD
572 10571 3R DME TIV
573 10572 3R EGO DME
574 10573 3R FEG DME
575 10574 3R KSQ DME
576 10575 3R LED ASF
577 10576 3R NMA DME
578 10577 3R NVI DME
579 10578 3R SKD DME
580 10579 3R TIV DME
581 10580 3S ANU PTP
582 10581 3S CAY FDF
583 10582 3S CUR SDQ
584 10583 3S DOM PTP
585 10584 3S DOM SXM
586 10585 3S FDF CAY
587 10586 3S FDF PTP
588 10587 3S FDF SDQ
589 10588 3S FDF SLU
590 10589 3S PTP ANU
591 10590 3S PTP DOM
592 10591 3S PTP FDF
593 10592 3S PTP SBH
594 10593 3S PTP SDQ
595 10594 3S PTP SFG
596 10595 3S PTP SXM
597 10596 3S SBH PTP
598 10597 3S SDQ PTP
599 10598 3S SDQ SXM
600 10599 3S SFG PTP
601 10600 3S SLU FDF
602 10601 3S SXM DOM
603 10602 3S SXM PTP
604 10603 3S SXM SDQ
605 10604 3U BHY XIY
606 10605 3U CAN CKG
607 10606 3U CAN CTU
608 10607 3U CAN SPN
609 10608 3U CGO CGQ
610 10609 3U CGO CKG
611 10610 3U CGO CTU
612 10611 3U CGO HGH
613 10612 3U CGO HRB
614 10613 3U CGO KMG
615 10614 3U CGO URC
616 10615 3U CGQ CGO
617 10616 3U CGQ NKG
618 10617 3U CGQ TNA
619 10618 3U CGQ TSN
620 10619 3U CKG CAN
621 10620 3U CKG CGO
622 10621 3U CKG CSX
623 10622 3U CKG CTU
624 10623 3U CKG CZX
625 10624 3U CKG DLC
626 10625 3U CKG DYG
627 10626 3U CKG HAK
628 10627 3U CKG HGH
629 10628 3U CKG HKT
630 10629 3U CKG INC
631 10630 3U CKG KHN
632 10631 3U CKG KMG
633 10632 3U CKG LHW
634 10633 3U CKG LJG
635 10634 3U CKG LXA
636 10635 3U CKG NGB
637 10636 3U CKG NKG
638 10637 3U CKG NNG
639 10638 3U CKG PEK
640 10639 3U CKG PVG
641 10640 3U CKG PZI
642 10641 3U CKG SWA
643 10642 3U CKG SYD
644 10643 3U CKG SYX
645 10644 3U CKG SZX
646 10645 3U CKG TNA
647 10646 3U CKG TSA
648 10647 3U CKG TSN
649 10648 3U CKG TYN
650 10649 3U CKG URC
651 10650 3U CKG WUH
652 10651 3U CKG WUX
653 10652 3U CKG XIY
654 10653 3U CKG XNN
655 10654 3U CKG YIH
656 10655 3U CKG ZHA
657 10656 3U CSX CKG
658 10657 3U CSX CTU
659 10658 3U CSX FOC
660 10659 3U CSX KMG
661 10660 3U CSX SHE
662 10661 3U CSX WNZ
663 10662 3U CSX XMN
664 10663 3U CTU CAN
665 10664 3U CTU CGO
666 10665 3U CTU CKG
667 10666 3U CTU CSX
668 10667 3U CTU DCY
669 10668 3U CTU DSN
670 10669 3U CTU HAK
671 10670 3U CTU HDG
672 10671 3U CTU HET
673 10672 3U CTU HFE
674 10673 3U CTU HGH
675 10674 3U CTU HKG
676 10675 3U CTU HKT
677 10676 3U CTU ICN
678 10677 3U CTU INC
679 10678 3U CTU JHG
680 10679 3U CTU JIQ
681 10680 3U CTU JZH
682 10681 3U CTU KHN
683 10682 3U CTU KMG
684 10683 3U CTU KOW
685 10684 3U CTU KWE
686 10685 3U CTU LHW
687 10686 3U CTU LJG
688 10687 3U CTU LUM
689 10688 3U CTU LXA
690 10689 3U CTU LZY
691 10690 3U CTU MEL
692 10691 3U CTU NKG
693 10692 3U CTU NNG
694 10693 3U CTU PEK
695 10694 3U CTU PVG
696 10695 3U CTU PZI
697 10696 3U CTU SHE
698 10697 3U CTU SJW
699 10698 3U CTU SYX
700 10699 3U CTU SZX
701 10700 3U CTU TAO
702 10701 3U CTU TNA
703 10702 3U CTU TSA
704 10703 3U CTU TSN
705 10704 3U CTU TYN
706 10705 3U CTU URC
707 10706 3U CTU WNZ
708 10707 3U CTU WUH
709 10708 3U CTU WUX
710 10709 3U CTU WXN
711 10710 3U CTU XIC
712 10711 3U CTU XIY
713 10712 3U CTU XMN
714 10713 3U CTU XNN
715 10714 3U CTU XUZ
716 10715 3U CTU YIH
717 10716 3U CTU YTY
718 10717 3U CZX CKG
719 10718 3U CZX HRB
720 10719 3U CZX XMN
721 10720 3U CZX ZUH
722 10721 3U DAT TYN
723 10722 3U DCY CTU
724 10723 3U DLC CKG
725 10724 3U DLC HGH
726 10725 3U DLC HRB
727 10726 3U DLC TNA
728 10727 3U DLC XUZ
729 10728 3U DNH LHW
730 10729 3U DSN CTU
731 10730 3U DSN SHE
732 10731 3U DYG CKG
733 10732 3U DYG NKG
734 10733 3U FOC CSX
735 10734 3U FOC XIY
736 10735 3U GXH LXA
737 10736 3U GXH XIY
738 10737 3U HAK CKG
739 10738 3U HAK CTU
740 10739 3U HAK HGH
741 10740 3U HAK NGB
742 10741 3U HAK ZUH
743 10742 3U HDG CTU
744 10743 3U HET CTU
745 10744 3U HFE CTU
746 10745 3U HGH CGO
747 10746 3U HGH CKG
748 10747 3U HGH CTU
749 10748 3U HGH DLC
750 10749 3U HGH HAK
751 10750 3U HGH KWE
752 10751 3U HGH TSN
753 10752 3U HGH TYN
754 10753 3U HKG CTU
755 10754 3U HKG YIH
756 10755 3U HKG ZHA
757 10756 3U HKT CKG
758 10757 3U HKT CTU
759 10758 3U HRB CGO
760 10759 3U HRB CZX
761 10760 3U HRB DLC
762 10761 3U HRB INC
763 10762 3U HRB NGB
764 10763 3U HRB NKG
765 10764 3U HRB NZH
766 10765 3U HRB SJW
767 10766 3U HRB TNA
768 10767 3U HRB TSN
769 10768 3U HRB WNZ
770 10769 3U HRB WUH
771 10770 3U HRB XIY
772 10771 3U HRB XUZ
773 10772 3U ICN CTU
774 10773 3U INC CKG
775 10774 3U INC CTU
776 10775 3U INC HRB
777 10776 3U INC KWL
778 10777 3U JGN LHW
779 10778 3U JHG CTU
780 10779 3U JHG KMG
781 10780 3U JIQ CTU
782 10781 3U JJN KWE
783 10782 3U JJN WUH
784 10783 3U JZH CTU
785 10784 3U KHG URC
786 10785 3U KHN CKG
787 10786 3U KHN CTU
788 10787 3U KHN KMG
789 10788 3U KHN NGB
790 10789 3U KMG CGO
791 10790 3U KMG CKG
792 10791 3U KMG CSX
793 10792 3U KMG CTU
794 10793 3U KMG JHG
795 10794 3U KMG KHN
796 10795 3U KMG KWE
797 10796 3U KMG LUM
798 10797 3U KMG NGB
799 10798 3U KMG NKG
800 10799 3U KMG TAO
801 10800 3U KMG TNA
802 10801 3U KMG TPE
803 10802 3U KMG WXN
804 10803 3U KMG XIY
805 10804 3U KMG XMN
806 10805 3U KMG XUZ
807 10806 3U KOW CTU
808 10807 3U KOW XMN
809 10808 3U KWE CTU
810 10809 3U KWE HGH
811 10810 3U KWE JJN
812 10811 3U KWE KMG
813 10812 3U KWE LHW
814 10813 3U KWE SYX
815 10814 3U KWE WNZ
816 10815 3U KWE XUZ
817 10816 3U KWL INC
818 10817 3U KWL SJW
819 10818 3U KWL SYX
820 10819 3U LHW CKG
821 10820 3U LHW CTU
822 10821 3U LHW DNH
823 10822 3U LHW JGN
824 10823 3U LHW KWE
825 10824 3U LHW TSN
826 10825 3U LJG CKG
827 10826 3U LJG CTU
828 10827 3U LJG MIG
829 10828 3U LUM CTU
830 10829 3U LUM KMG
831 10830 3U LXA CKG
832 10831 3U LXA CTU
833 10832 3U LXA GXH
834 10833 3U LXA XIY
835 10834 3U LXA XNN
836 10835 3U LYI XIY
837 10836 3U LZY CTU
838 10837 3U MEL CTU
839 10838 3U MIG LJG
840 10839 3U MIG NKG
841 10840 3U MIG SYX
842 10841 3U MIG XNN
843 10842 3U NGB CKG
844 10843 3U NGB HAK
845 10844 3U NGB HRB
846 10845 3U NGB KHN
847 10846 3U NGB KMG
848 10847 3U NGB SHE
849 10848 3U NGB SYX
850 10849 3U NKG CGQ
851 10850 3U NKG CKG
852 10851 3U NKG CTU
853 10852 3U NKG DYG
854 10853 3U NKG HRB
855 10854 3U NKG KMG
856 10855 3U NKG MIG
857 10856 3U NKG SYX
858 10857 3U NNG CKG
859 10858 3U NNG CTU
860 10859 3U NNG SGN
861 10860 3U NNG WUH
862 10861 3U NTG WUH
863 10862 3U NZH HRB
864 10863 3U PEK CKG
865 10864 3U PEK CTU
866 10865 3U PEK WXN
867 10866 3U PEK ZHY
868 10867 3U PVG CKG
869 10868 3U PVG CTU
870 10869 3U PVG SPN
871 10870 3U PZI CKG
872 10871 3U PZI CTU
873 10872 3U SGN NNG
874 10873 3U SHE CSX
875 10874 3U SHE CTU
876 10875 3U SHE DSN
877 10876 3U SHE NGB
878 10877 3U SHE TYN
879 10878 3U SHE XUZ
880 10879 3U SHE YVR
881 10880 3U SJW CTU
882 10881 3U SJW HRB
883 10882 3U SJW KWL
884 10883 3U SPN CAN
885 10884 3U SPN PVG
886 10885 3U SWA CKG
887 10886 3U SYD CKG
888 10887 3U SYX CKG
889 10888 3U SYX CTU
890 10889 3U SYX KWE
891 10890 3U SYX KWL
892 10891 3U SYX MIG
893 10892 3U SYX NGB
894 10893 3U SYX NKG
895 10894 3U SYX TNA
896 10895 3U SYX WNZ
897 10896 3U SYX YBP
898 10897 3U SZX CKG
899 10898 3U SZX CTU
900 10899 3U SZX WXN
901 10900 3U TAO CTU
902 10901 3U TAO KMG
903 10902 3U TNA CGQ
904 10903 3U TNA CKG
905 10904 3U TNA CTU
906 10905 3U TNA DLC
907 10906 3U TNA HRB
908 10907 3U TNA KMG
909 10908 3U TNA SYX
910 10909 3U TNA XIY
911 10910 3U TPE KMG
912 10911 3U TSA CKG
913 10912 3U TSA CTU
914 10913 3U TSN CGQ
915 10914 3U TSN CKG
916 10915 3U TSN CTU
917 10916 3U TSN HGH
918 10917 3U TSN HRB
919 10918 3U TSN LHW
920 10919 3U TVS TYN
