"airlineID"
"2B"
"2G"
"2I"
"2J"
"2K"
"2L"
"2N"
"2O"
"2P"
"2Z"
"3E"
"3F"
"3G"
"3H"
"3J"
"3K"
"3L"
"3M"
"3O"
"3P"
"3R"
"3S"
"3U"
"4B"
"4D"
"4E"
"4G"
"4H"
"4K"
"4M"
"4N"
"4O"
"4Q"
"4T"
"4U"
"4W"
"4Y"
"5C"
"5G"
"5H"
"5J"
"5M"
"5N"
"5P"
"5Q"
"5T"
"5U"
"5Z"
"6E"
"6H"
"6I"
"6L"
"6R"
"6T"
"6W"
"6Y"
"7C"
"7E"
"7F"
"7G"
"7H"
"7I"
"7J"
"7M"
"7P"
"7R"
"7S"
"8B"
"8D"
"8E"
"8I"
"8L"
"8M"
"8P"
"8Q"
"8R"
"8T"
"8U"
"8V"
"9C"
"9D"
"9E"
"9K"
"9M"
"9N"
"9Q"
"9R"
"9U"
"9V"
"9W"
"A2"
"A3"
"A4"
"A5"
"A8"
"A9"
"AA"
"AB"
"ABJ"
"AC"
"AD"
"AE"
"AF"
"AH"
"AI"
"AK"
"AM"
"AP"
"AR"
"AS"
"AT"
"AV"
"AW"
"AY"
"AZ"
"B2"
"B5"
"B6"
"B7"
"B9"
"BA"
"BB"
"BC"
"BE"
"BF"
"BG"
"BH"
"BI"
"BJ"
"BK"
"BL"
"BM"
"BP"
"BR"
"BT"
"BU"
"BV"
"BW"
"BX"
"C8"
"CA"
"CC"
"CE"
"CG"
"CI"
"CM"
"CN"
"CU"
"CX"
"CY"
"CZ"
"D2"
"D3"
"D6"
"D7"
"DC"
"DD"
"DE"
"DG"
"DH"
"DL"
"DN"
"DT"
"DV"
"DX"
"DY"
"DZ"
"E2"
"E5"
"E7"
"E8"
"E9"
"EB"
"EF"
"EG"
"EI"
"EK"
"EL"
"EN"
"EO"
"EP"
"EQ"
"ET"
"EU"
"EW"
"EY"
"F2"
"F5"
"F7"
"F9"
"FB"
"FD"
"FE"
"FG"
"FI"
"FJ"
"FL"
"FM"
"FO"
"FR"
"FS"
"FV"
"FW"
"FY"
"FZ"
"G3"
"G4"
"G5"
"G8"
"G9"
"GA"
"GE"
"GF"
"GK"
"GL"
"GQ"
"GR"
"GS"
"GV"
"GY"
"GZ"
"H2"
"H7"
"HA"
"HD"
"HF"
"HG"
"HI"
"HK"
"HM"
"HN"
"HO"
"HQ"
"HR"
"HS"
"HU"
"HV"
"HW"
"HX"
"HY"
"HZ"
"I4"
"I6"
"I8"
"I9"
"IB"
"ID"
"IE"
"IG"
"IL"
"IOS"
"IR"
"IX"
"IY"
"IZ"
"J2"
"J3"
"J4"
"J5"
"J8"
"J9"
"JA"
"JB"
"JD"
"JE"
"JH"
"JJ"
"JL"
"JN"
"JP"
"JQ"
"JS"
"JT"
"JU"
"JV"
"JW"
"JY"
"K2"
"K3"
"K5"
"K6"
"K8"
"KA"
"KB"
"KC"
"KE"
"KK"
"KL"
"KM"
"KN"
"KO"
"KQ"
"KR"
"KS"
"KU"
"KX"
"KY"
"L6"
"LA"
"LC"
"LF"
"LG"
"LH"
"LI"
"LJ"
"LM"
"LN"
"LO"
"LR"
"LS"
"LT"
"LV"
"LW"
"LX"
"LY"
"M3"
"M4"
"M5"
"M6"
"M9"
"MD"
"ME"
